"","Year","GEOID","NAME","Median Income","Median Income moe","Percent Median Income Change","Label"
"220","2009","1938640","Iowa Falls",38225,6809,NA,NA
"221","2009","1938820","Ireton",45486,8984,NA,NA
"222","2009","1939000","Irwin",31429,8331,NA,NA
"223","2009","1939135","Jackson Junction",44167,57796,NA,NA
"224","2009","1939225","Jamaica",39375,10035,NA,NA
"225","2009","1939405","Janesville",47132,6516,NA,NA
"226","2009","1939450","Jefferson",39167,4573,NA,NA
"227","2009","1939585","Jesup",52669,4253,NA,NA
"228","2009","1939675","Jewell Junction",51500,14757,NA,NA
"229","2009","1939765","Johnston",89917,5127,NA,NA
"230","2009","1939855","Joice",45577,7912,NA,NA
"231","2009","1939900","Jolley",44167,5672,NA,NA
"232","2009","1940170","Kalona",48029,7562,NA,NA
"233","2009","1940215","Kamrar",28750,9290,NA,NA
"234","2009","1940260","Kanawha",35903,5912,NA,NA
"235","2009","1940350","Kellerton",32885,7605,NA,NA
"236","2009","1940395","Kelley",55714,11739,NA,NA
"237","2009","1940440","Kellogg",45893,15576,NA,NA
"238","2009","1940665","Kensett",40500,11630,NA,NA
"239","2009","1940845","Keokuk",35640,3030,NA,NA
"240","2009","1940890","Keomah Village",89688,24163,NA,NA
"241","2009","1940935","Keosauqua",41875,10969,NA,NA
"242","2009","1940980","Keota",47721,5548,NA,NA
"243","2009","1941070","Keswick",45750,7522,NA,NA
"244","2009","1941115","Keystone",50729,5785,NA,NA
"245","2009","1941295","Kimballton",31250,9172,NA,NA
"246","2009","1941385","Kingsley",48523,2910,NA,NA
"247","2009","1941475","Kinross",45000,11803,NA,NA
"248","2009","1941520","Kirkman",51875,53372,NA,NA
"249","2009","1941565","Kirkville",40625,18248,NA,NA
"250","2009","1941610","Kiron",31875,9290,NA,NA
"251","2009","1941655","Klemme",35667,8829,NA,NA
"252","2009","1941790","Knierim",77727,75512,NA,NA
"253","2009","1942015","Knoxville",39365,4810,NA,NA
"254","2009","1942285","Lacona",35000,10808,NA,NA
"255","2009","1942330","Ladora",46071,10673,NA,NA
"256","2009","1942465","Lake City",30613,4461,NA,NA
"257","2009","1942555","Lake Mills",38284,3288,NA,NA
"258","2009","1942600","Lake Park",44167,11534,NA,NA
"259","2009","1942645","Lakeside",50104,10269,NA,NA
"260","2009","1942690","Lake View",32500,7152,NA,NA
"261","2009","1942825","Lakota",34792,34966,NA,NA
"262","2009","1942870","Lambs Grove",67569,14968,NA,NA
"263","2009","1942960","Lamoni",34125,17956,NA,NA
"264","2009","1943005","Lamont",37833,3128,NA,NA
"265","2009","1943050","La Motte",51500,17866,NA,NA
"266","2009","1943140","Lanesboro",21944,11910,NA,NA
"267","2009","1943275","Lansing",45422,1827,NA,NA
"268","2009","1943365","La Porte City",44792,3810,NA,NA
"269","2009","1943410","Larchwood",47188,10521,NA,NA
"270","2009","1943500","Larrabee",49375,5902,NA,NA
"271","2009","1943590","Latimer",37969,8535,NA,NA
"272","2009","1943680","Laurel",37083,31393,NA,NA
"273","2009","1943725","Laurens",31351,5622,NA,NA
"274","2009","1943815","Lawler",40893,7901,NA,NA
"275","2009","1943905","Lawton",65066,6380,NA,NA
"276","2009","1943950","Leando CDP",53641,894,NA,NA
"277","2009","1944085","Le Claire",57206,9964,NA,NA
"278","2009","1944130","Ledyard",34375,21473,NA,NA
"279","2009","1944220","Le Grand",50347,9604,NA,NA
"280","2009","1944265","Lehigh",36667,4987,NA,NA
"281","2009","1944310","Leighton",43828,4077,NA,NA
"282","2009","1944355","Leland",35139,9934,NA,NA
"283","2009","1944400","Le Mars",49542,2868,NA,NA
"284","2009","1944490","Lenox",32458,6464,NA,NA
"285","2009","1944535","Leon",25478,4639,NA,NA
"286","2009","1944580","Le Roy",58333,84764,NA,NA
"287","2009","1944670","Lester",46719,19690,NA,NA
"288","2009","1944715","Letts",49531,15547,NA,NA
"289","2009","1944805","Lewis",33021,8784,NA,NA
"290","2009","1900190","Ackley",39279,4519,NA,NA
"291","2009","1900235","Ackworth",72083,37359,NA,NA
"292","2009","1900370","Adair",38063,4056,NA,NA
"293","2009","1900505","Adel",43851,10200,NA,NA
"294","2009","1900595","Afton",31071,7142,NA,NA
"295","2009","1900640","Agency",35278,14342,NA,NA
"296","2009","1900730","Ainsworth",53438,10618,NA,NA
"297","2009","1900775","Akron",42411,6453,NA,NA
"298","2009","1900865","Albert City",43929,9269,NA,NA
"299","2009","1900910","Albia",29389,7065,NA,NA
"300","2009","1900955","Albion",39145,5919,NA,NA
"301","2009","1901000","Alburnett",46250,4208,NA,NA
"302","2009","1901045","Alden",43355,8229,NA,NA
"303","2009","1901090","Alexander",34167,8187,NA,NA
"304","2009","1901135","Algona",38774,3463,NA,NA
"305","2009","1901180","Alleman",81500,10678,NA,NA
"306","2009","1901270","Allerton",31042,12317,NA,NA
"307","2009","1901315","Allison",34152,3185,NA,NA
"308","2009","1901495","Alta",39922,5301,NA,NA
"309","2009","1901540","Alta Vista",28929,5750,NA,NA
"310","2009","1901585","Alton",57400,3088,NA,NA
"311","2009","1901630","Altoona",63269,4811,NA,NA
"312","2009","1901675","Alvord",44688,14789,NA,NA
"313","2009","1901855","Ames",37188,1721,NA,NA
"314","2009","1901990","Anamosa",37383,5817,NA,NA
"315","2009","1902080","Andover",55500,4269,NA,NA
"316","2009","1902125","Andrew",39688,5198,NA,NA
"317","2009","1902260","Anita",35300,6972,NA,NA
"318","2009","1902305","Ankeny",71198,3274,NA,NA
"319","2009","1902350","Anthon",37250,6080,NA,NA
"320","2009","1902395","Aplington",41071,8173,NA,NA
"321","2009","1902485","Arcadia",46146,6494,NA,NA
"322","2009","1902530","Archer",39531,18032,NA,NA
"323","2009","1902620","Aredale",30000,17749,NA,NA
"324","2009","1902755","Arion",45577,22664,NA,NA
"325","2009","1902800","Arispe",39063,8425,NA,NA
"326","2009","1902845","Arlington",31563,9551,NA,NA
"327","2009","1902935","Armstrong",51094,6041,NA,NA
"328","2009","1903025","Arnolds Park",37455,6153,NA,NA
"329","2009","1903115","Arthur",32500,9599,NA,NA
"330","2009","1903160","Asbury",75000,12471,NA,NA
"331","2009","1903295","Ashton",36786,3681,NA,NA
"332","2009","1903340","Aspinwall",29167,2136,NA,NA
"333","2009","1903385","Atalissa",48750,23888,NA,NA
"334","2009","1903475","Atkins",75929,3265,NA,NA
"335","2009","1903520","Atlantic",38835,4978,NA,NA
"336","2009","1903610","Auburn",31875,19714,NA,NA
"337","2009","1903655","Audubon",36969,4180,NA,NA
"338","2009","1903745","Aurelia",43889,6871,NA,NA
"339","2009","1903835","Aurora",31875,12230,NA,NA
"340","2009","1903970","Avoca",52031,7021,NA,NA
"341","2009","1904105","Ayrshire",29792,7958,NA,NA
"342","2009","1904195","Badger",43636,8281,NA,NA
"343","2009","1904240","Bagley",27250,12998,NA,NA
"344","2009","1904330","Baldwin",24375,9634,NA,NA
"345","2009","1904375","Balltown",48958,16617,NA,NA
"346","2009","1904420","Bancroft",47375,5406,NA,NA
"347","2009","1904510","Bankston",41250,81098,NA,NA
"348","2009","1904555","Barnes City",34432,11321,NA,NA
"349","2009","1904645","Barnum",42321,4469,NA,NA
"350","2009","1904780","Bassett",61250,43123,NA,NA
"351","2009","1904825","Batavia",44063,7163,NA,NA
"352","2009","1904870","Battle Creek",37202,7908,NA,NA
"353","2009","1904915","Baxter",49833,7090,NA,NA
"354","2009","1904960","Bayard",33125,10559,NA,NA
"355","2009","1905050","Beacon",24492,11928,NA,NA
"356","2009","1905095","Beaconsfield",18750,68742,NA,NA
"357","2009","1905140","Beaman",37857,16178,NA,NA
"358","2009","1905185","Beaver",47500,2554,NA,NA
"359","2009","1905365","Bedford",36250,4207,NA,NA
"360","2009","1905590","Belle Plaine",37024,4148,NA,NA
"361","2009","1905635","Bellevue",47614,9174,NA,NA
"362","2009","1905680","Belmond",41298,6345,NA,NA
"363","2009","1905770","Bennett",54167,9839,NA,NA
"364","2009","1905905","Benton",42083,34910,NA,NA
"365","2009","1906040","Berkley",55000,26776,NA,NA
"366","2009","1906085","Bernard",57917,33682,NA,NA
"367","2009","1906175","Bertram",62188,37283,NA,NA
"368","2009","1906355","Bettendorf",64456,3988,NA,NA
"369","2009","1906490","Bevington",51250,110963,NA,NA
"370","2009","1906625","Birmingham",40000,6549,NA,NA
"371","2009","1906760","Blairsburg",55625,10150,NA,NA
"372","2009","1906805","Blairstown",47396,7025,NA,NA
"373","2009","1906850","Blakesburg",31667,13122,NA,NA
"374","2009","1906895","Blanchard",31000,7537,NA,NA
"375","2009","1906940","Blencoe",45833,17711,NA,NA
"376","2009","1906985","Blockton",28304,2839,NA,NA
"377","2009","1907030","Bloomfield",43590,5046,NA,NA
"378","2009","1907075","Blue Grass",60240,4368,NA,NA
"379","2009","1907210","Bode",34167,13298,NA,NA
"380","2009","1907345","Bonaparte",38854,7290,NA,NA
"381","2009","1907390","Bondurant",60865,5641,NA,NA
"382","2009","1907480","Boone",43256,2668,NA,NA
"383","2009","1907660","Bouton",43250,12832,NA,NA
"384","2009","1907750","Boxholm",31250,16141,NA,NA
"385","2009","1907840","Boyden",45714,9017,NA,NA
"386","2009","1907930","Braddyville",33083,11239,NA,NA
"387","2009","1908065","Bradgate",25938,10324,NA,NA
"388","2009","1908155","Brandon",43393,8636,NA,NA
"389","2009","1908200","Brayton",38935,8651,NA,NA
"390","2009","1908290","Breda",39405,12686,NA,NA
"391","2009","1908425","Bridgewater",22222,6509,NA,NA
"392","2009","1908470","Brighton",27500,4561,NA,NA
"393","2009","1908560","Bristow",25313,12668,NA,NA
"394","2009","1908605","Britt",46860,6103,NA,NA
"395","2009","1908650","Bronson",53750,21606,NA,NA
"396","2009","1908695","Brooklyn",47607,6814,NA,NA
"397","2009","1908875","Brunsville",68068,10806,NA,NA
"398","2009","1909100","Buckeye",23750,11970,NA,NA
"399","2009","1909145","Buck Grove",24375,17144,NA,NA
"400","2009","1909235","Buffalo",54625,6493,NA,NA
"401","2009","1909280","Buffalo Center",28625,3787,NA,NA
"402","2009","1909550","Burlington",40151,2143,NA,NA
"403","2009","1909685","Burt",33750,15466,NA,NA
"404","2009","1909730","Bussey",41071,8119,NA,NA
"405","2009","1909820","Calamus",48750,10866,NA,NA
"406","2009","1909955","Callender",39615,6357,NA,NA
"407","2009","1910045","Calmar",38378,6381,NA,NA
"408","2009","1910090","Calumet",34063,36348,NA,NA
"409","2009","1910135","Camanche",47222,9415,NA,NA
"410","2009","1910225","Cambridge",53068,8998,NA,NA
"411","2009","1910450","Cantril",34432,4886,NA,NA
"412","2009","1910585","Carbon",43750,13985,NA,NA
"413","2009","1910765","Carlisle",59040,2683,NA,NA
"414","2009","1911035","Carpenter",26875,13238,NA,NA
"415","2009","1911080","Carroll",43710,4816,NA,NA
"416","2009","1911170","Carson",51458,13255,NA,NA
"417","2009","1911215","Carter Lake",51201,5813,NA,NA
"418","2009","1911305","Cascade",51193,7999,NA,NA
"419","2009","1911395","Casey",41250,8392,NA,NA
"420","2009","1911485","Castalia",33125,17390,NA,NA
"421","2009","1911530","Castana",33661,5127,NA,NA
"422","2009","1911755","Cedar Falls",45951,2329,NA,NA
"423","2009","1912000","Cedar Rapids",48501,1450,NA,NA
"424","2009","1912225","Center Junction",51875,44022,NA,NA
"425","2009","1912270","Center Point",62171,3615,NA,NA
"426","2009","1912315","Centerville",28211,3080,NA,NA
"427","2009","1912495","Central City",45781,6625,NA,NA
"428","2009","1912630","Centralia",42500,29251,NA,NA
"429","2009","1912720","Chariton",35404,6970,NA,NA
"430","2009","1912765","Charles City",29318,4604,NA,NA
"431","2009","1912855","Charlotte",36875,16089,NA,NA
"432","2009","1912900","Charter Oak",35938,9725,NA,NA
"433","2009","1912945","Chatsworth",23250,7354,NA,NA
"434","2009","1912990","Chelsea",43125,11370,NA,NA
"435","2009","1913080","Cherokee",39914,6767,NA,NA
"436","2009","1913125","Chester",27321,27881,NA,NA
"437","2009","1913215","Chillicothe",48750,20176,NA,NA
"438","2009","1913350","Churdan",32250,10063,NA,NA
"439","2009","1913395","Cincinnati",25375,9020,NA,NA
"440","2009","1913485","Clare",43750,8272,NA,NA
"441","2009","1913530","Clarence",44605,7983,NA,NA
"442","2009","1913575","Clarinda",36439,4926,NA,NA
"443","2009","1913620","Clarion",38000,6587,NA,NA
"444","2009","1913755","Clarksville",41061,3015,NA,NA
"445","2009","1913845","Clayton",31000,7767,NA,NA
"446","2009","1913980","Clearfield",35000,4936,NA,NA
"447","2009","1914025","Clear Lake",46305,4519,NA,NA
"448","2009","1914115","Cleghorn",38750,11583,NA,NA
"449","2009","1914160","Clemons",38125,18411,NA,NA
"450","2009","1914250","Clermont",35417,7349,NA,NA
"451","2009","1914430","Clinton",39210,2129,NA,NA
"452","2009","1914475","Clio",48281,17208,NA,NA
"453","2009","1914520","Clive",99766,9937,NA,NA
"454","2009","1914655","Clutier",26667,20012,NA,NA
"455","2009","1914835","Coalville CDP",57045,46720,NA,NA
"456","2009","1914880","Coburg",47083,20686,NA,NA
"457","2009","1914925","Coggon",55208,5822,NA,NA
"458","2009","1914970","Coin",27143,23913,NA,NA
"459","2009","1915015","Colesburg",38750,8174,NA,NA
"460","2009","1915060","Colfax",49151,3116,NA,NA
"461","2009","1915105","College Springs",30750,19021,NA,NA
"462","2009","1915195","Collins",43750,8264,NA,NA
"463","2009","1915240","Colo",49375,5307,NA,NA
"464","2009","1915375","Columbus City",31250,15010,NA,NA
"465","2009","1915420","Columbus Junction",46111,5648,NA,NA
"466","2009","1915465","Colwell",48750,55249,NA,NA
"467","2009","1915645","Conesville",43750,12469,NA,NA
"468","2009","1915825","Conrad",45833,5428,NA,NA
"469","2009","1915960","Conway",25750,6343,NA,NA
"470","2009","1916050","Coon Rapids",36140,4722,NA,NA
"471","2009","1916140","Coppock",66250,59077,NA,NA
"472","2009","1916230","Coralville",51219,4706,NA,NA
"473","2009","1916500","Corning",31957,5666,NA,NA
"474","2009","1916545","Correctionville",40700,3953,NA,NA
"475","2009","1916590","Corwith",43516,3937,NA,NA
"476","2009","1916635","Corydon",32500,6286,NA,NA
"477","2009","1916725","Cotter",38750,28447,NA,NA
"478","2009","1916815","Coulter",39375,36629,NA,NA
"479","2009","1916860","Council Bluffs",43116,1567,NA,NA
"480","2009","1916950","Craig",48125,40753,NA,NA
"481","2009","1917130","Crawfordsville",36944,16030,NA,NA
"482","2009","1917175","Crescent",70417,27022,NA,NA
"483","2009","1917220","Cresco",37576,9630,NA,NA
"484","2009","1917265","Creston",36766,5618,NA,NA
"485","2009","1917490","Cromwell",43523,4486,NA,NA
"486","2009","1917670","Crystal Lake",32422,6461,NA,NA
"487","2009","1917760","Cumberland",31429,9111,NA,NA
"488","2009","1917850","Cumming",102969,7997,NA,NA
"489","2009","1917895","Curlew",43750,15657,NA,NA
"490","2009","1917940","Cushing",34375,6972,NA,NA
"491","2009","1917985","Cylinder",49688,18754,NA,NA
"492","2009","1918075","Dakota City",48854,8752,NA,NA
"493","2009","1918255","Dallas Center",64167,5773,NA,NA
"494","2009","1918345","Dana",29375,15072,NA,NA
"495","2009","1918390","Danbury",32292,9179,NA,NA
"496","2009","1918435","Danville",51250,8852,NA,NA
"497","2009","1919000","Davenport",43676,1377,NA,NA
"498","2009","1919090","Davis City",32708,8348,NA,NA
"499","2009","1919135","Dawson",66250,27456,NA,NA
"500","2009","1919180","Dayton",40781,9069,NA,NA
"501","2009","1919360","Decatur City",26750,9936,NA,NA
"502","2009","1919405","Decorah",43099,4135,NA,NA
"503","2009","1919450","Dedham",43750,10220,NA,NA
"504","2009","1919495","Deep River",38672,4662,NA,NA
"505","2009","1919585","Defiance",40556,10370,NA,NA
"506","2009","1919630","Delaware",33563,1715,NA,NA
