"","Year","GEOID","NAME","Total Workforce","Total Workforce moe","Workforce Commuting","Workforce Commuting moe","Percent Workforce Commuting","moe"
"27","2009","1926895","Farmington",309,85,248,68,0.802588996763754,0.311722515193039
"28","2009","1926940","Farnhamville",140,45,100,37,0.714285714285714,0.350084775833969
"29","2009","1926985","Farragut",289,65,259,67,0.896193771626298,0.307206516383472
"30","2009","1927165","Fayette",619,150,325,98,0.525040387722132,0.203108191041724
"31","2009","1927210","Fenton",140,37,111,32,0.792857142857143,0.31008426542792
"32","2009","1927255","Ferguson",41,24,36,23,0.878048780487805,0.760834307037238
"33","2009","1927390","Fertile",181,46,160,45,0.883977900552486,0.335085410850433
"34","2009","1927975","Floris",65,38,65,38,1,0.82677100569504
"35","2009","1928020","Floyd",193,53,154,46,0.797927461139896,0.323759877365123
"36","2009","1928245","Fonda",274,67,170,49,0.62043795620438,0.23451596831827
"37","2009","1928290","Fontanelle",343,78,255,73,0.743440233236152,0.271804679191284
"38","2009","1928380","Forest City",1965,248,322,125,0.163867684478371,0.0668907204022388
"39","2009","1928425","Fort Atkinson",189,72,169,65,0.894179894179894,0.484059238023989
"40","2009","1928515","Fort Dodge",12021,504,2645,342,0.22003161134681,0.0299085035186145
"41","2009","1928605","Fort Madison",4612,319,1603,254,0.347571552471813,0.0600921457165155
"42","2009","1928650","Fostoria",55,21,52,20,0.945454545454545,0.512392855224222
"43","2009","1928740","Franklin",109,40,98,40,0.899082568807339,0.493485815962092
"44","2009","1928920","Fraser",59,26,59,26,1,0.623212756300008
"45","2009","1928965","Fredericksburg",421,97,202,65,0.479809976247031,0.189891841441345
"46","2009","1929010","Frederika",89,38,85,37,0.955056179775281,0.582334636105951
"47","2009","1929055","Fredonia",99,43,95,42,0.95959595959596,0.594726023960682
"48","2009","1929190","Fremont",448,103,368,88,0.821428571428571,0.272489415239665
"49","2009","1929280","Fruitland",609,104,598,105,0.981937602627258,0.240510948462915
"50","2009","1929550","Galt",9,6,9,6,1,0.942809041582063
"51","2009","1929595","Galva",191,60,153,57,0.801047120418848,0.390360936332478
"52","2009","1929685","Garber",49,23,34,22,0.693877551020408,0.554672531734593
"53","2009","1929775","Garden Grove",117,40,107,40,0.914529914529915,0.463290749529669
"54","2009","1929910","Garnavillo",360,80,233,62,0.647222222222222,0.224380805602613
"55","2009","1929955","Garner",1276,161,606,141,0.474921630094044,0.125703706849896
"56","2009","1930000","Garrison",212,43,192,41,0.905660377358491,0.266732170642116
"57","2009","1930045","Garwin",272,77,230,72,0.845588235294118,0.356889496143998
"58","2009","1930135","Geneva",83,31,72,30,0.867469879518072,0.485402583330201
"59","2009","1930225","George",489,92,298,73,0.609406952965235,0.188231655946564
"60","2009","1930540","Gibson",21,9,21,9,1,0.606091526731326
"61","2009","1930630","Gilbert",564,98,506,85,0.897163120567376,0.216829369138864
"62","2009","1930675","Gilbertville",396,105,342,95,0.863636363636364,0.331647406094083
"63","2009","1930810","Gillett Grove",28,18,24,17,0.857142857142857,0.819906055101439
"64","2009","1930900","Gilman",320,60,290,58,0.90625,0.248445177259523
"65","2009","1930945","Gilmore City",269,73,225,75,0.836431226765799,0.359525107223061
"66","2009","1931035","Gladbrook",518,102,348,78,0.671814671814672,0.2004349042809
"67","2009","1931350","Glenwood",2596,446,1216,206,0.468412942989214,0.113017888027033
"68","2009","1931395","Glidden",560,93,457,82,0.816071428571429,0.199521084878934
"69","2009","1931530","Goldfield",348,81,281,79,0.807471264367816,0.294716607948232
"70","2009","1931575","Goodell",108,44,99,41,0.916666666666667,0.532530402683307
"71","2009","1931665","Goose Lake",131,33,106,33,0.809160305343511,0.324046682249209
"72","2009","1931710","Gowrie",539,106,353,94,0.654916512059369,0.21680125695468
"73","2009","1944985","Libertyville",192,54,179,51,0.932291666666667,0.373241433742207
"74","2009","1945030","Lidderdale",66,38,63,38,0.954545454545455,0.7959537746258
"75","2009","1945165","Lime Springs",263,66,166,51,0.631178707224335,0.250384540162105
"76","2009","1945255","Lincoln",89,37,89,37,1,0.587931480986568
"77","2009","1945390","Linden",157,55,130,43,0.828025477707006,0.398942739936986
"78","2009","1945435","Lineville",71,34,45,26,0.633802816901408,0.47562530457052
"79","2009","1945480","Linn Grove",95,37,61,30,0.642105263157895,0.402820741574106
"80","2009","1945615","Lisbon",988,126,806,113,0.815789473684211,0.154612264862218
"81","2009","1945660","Liscomb",141,35,132,33,0.936170212765957,0.32981453157871
"82","2009","1945795","Little Rock",208,52,170,47,0.817307692307692,0.30464423243841
"83","2009","1945840","Little Sioux",86,26,84,26,0.976744186046512,0.422610635052317
"84","2009","1945975","Livermore",171,51,158,49,0.923976608187134,0.397555840168661
"85","2009","1946065","Lockridge",144,49,139,48,0.965277777777778,0.467973050192022
"86","2009","1946155","Logan",878,86,577,80,0.657175398633257,0.111560238393784
"87","2009","1946245","Lohrville",169,41,143,37,0.846153846153846,0.300120548881829
"88","2009","1946290","Lone Rock",68,24,59,24,0.867647058823529,0.467272180756434
"89","2009","1946335","Lone Tree",679,114,601,107,0.885125184094256,0.216603380683589
"90","2009","1946425","Long Grove",429,93,405,92,0.944055944055944,0.296434848775472
"91","2009","1946515","Lorimor",134,56,125,53,0.932835820895522,0.555350894695388
"92","2009","1946605","Lost Nation",245,64,180,58,0.73469387755102,0.304756647958066
"93","2009","1946830","Lovilia",267,103,253,101,0.947565543071161,0.526035446274067
"94","2009","1946920","Lowden",362,82,274,59,0.756906077348066,0.236558711607311
"95","2009","1947010","Low Moor",70,39,70,39,1,0.787918984750724
"96","2009","1947055","Luana",145,35,131,34,0.903448275862069,0.320216039905161
"97","2009","1947100","Lucas",105,42,96,40,0.914285714285714,0.52808300041641
"98","2009","1947280","Luther",49,21,45,19,0.918367346938776,0.552506980177272
"99","2009","1947370","Lu Verne",139,43,98,34,0.705035971223022,0.327720782556919
"100","2009","1947460","Luxemburg",107,45,96,41,0.897196261682243,0.53777282032089
"101","2009","1947505","Luzerne",51,32,45,32,0.882352941176471,0.83678221351822
"102","2009","1947595","Lynnville",172,44,152,42,0.883720930232558,0.332766632144878
"103","2009","1947730","Lytton",156,46,118,49,0.756410256410256,0.385238976482837
"104","2009","1947775","McCallsburg",151,55,126,46,0.834437086092715,0.430324118174272
"105","2009","1947820","McCausland",157,52,146,53,0.929936305732484,0.456975598266004
"106","2009","1947865","McClelland",132,46,122,47,0.924242424242424,0.480122451258287
"107","2009","1947955","Macedonia",128,39,115,38,0.8984375,0.403819041364915
"108","2009","1948000","McGregor",363,92,268,76,0.738292011019284,0.280796069611663
"109","2009","1948045","McIntire",53,21,42,21,0.792452830188679,0.505554704616064
"110","2009","1948180","Macksburg",50,27,43,28,0.86,0.72750763569876
"111","2009","1948450","Madrid",1280,202,981,187,0.76640625,0.189662648231346
"112","2009","1948495","Magnolia",154,103,139,97,0.902597402597403,0.872451885593643
"113","2009","1948500","Maharishi Vedic City",109,57,58,27,0.532110091743119,0.372540962057584
"114","2009","1948540","Malcom",131,39,110,38,0.83969465648855,0.382932104805459
"115","2009","1948585","Mallard",225,85,183,86,0.813333333333333,0.490410113640657
"116","2009","1948675","Maloy",43,57,40,58,0.930232558139535,1.82753793202101
"117","2009","1948720","Malvern",489,90,401,72,0.820040899795501,0.210852065341272
"118","2009","1948810","Manchester",2326,208,782,181,0.336199484092863,0.083421754557378
"119","2009","1948855","Manilla",406,69,282,61,0.694581280788177,0.191071924498184
"120","2009","1948900","Manly",573,85,490,84,0.855148342059337,0.193862566092968
"121","2009","1948945","Manning",789,94,360,60,0.456273764258555,0.093476761048126
"122","2009","1948990","Manson",802,114,532,99,0.663341645885287,0.155333412104174
"123","2009","1949170","Mapleton",548,73,288,59,0.525547445255474,0.128424512154267
"124","2009","1949215","Maquoketa",2686,197,775,176,0.288533134772896,0.0688574389928902
"125","2009","1949260","Marathon",107,34,85,33,0.794392523364486,0.398541401255094
"126","2009","1949305","Marble Rock",139,42,104,32,0.748201438848921,0.322659802325737
"127","2009","1949350","Marcus",613,102,296,74,0.482871125611745,0.14501193349306
"128","2009","1949395","Marengo",1354,131,779,121,0.57533234859675,0.10528301754149
"129","2009","1949485","Marion",16969,594,12999,541,0.766043962519889,0.0416593932759895
"130","2009","1949575","Marne",72,36,69,36,0.958333333333333,0.692532089108111
"131","2009","1949620","Marquette",307,84,274,86,0.892508143322476,0.371629740352703
"132","2009","1949755","Marshalltown",10914,423,1763,268,0.161535642294301,0.0253411723019518
"133","2009","1949845","Martelle",190,50,169,47,0.889473684210526,0.340559609015007
"134","2009","1949890","Martensdale",246,69,219,67,0.890243902439024,0.369499793050702
"135","2009","1949935","Martinsburg",86,55,77,54,0.895348837209302,0.849791583536433
"136","2009","1950070","Marysville",41,20,41,20,1,0.689860274328339
"137","2009","1950160","Mason City",13972,480,2437,426,0.174420269109648,0.0310727862690216
"138","2009","1950205","Masonville",82,29,79,31,0.963414634146341,0.508931104480235
"139","2009","1950250","Massena",166,37,122,29,0.734939759036145,0.239486949752286
"140","2009","1950385","Matlock",18,13,18,13,1,1.0213764617139
"141","2009","1950430","Maurice",137,27,115,25,0.839416058394161,0.24630764524073
"142","2009","1950520","Maxwell",435,75,387,73,0.889655172413793,0.227355166398046
"143","2009","1950610","Maynard",199,47,136,41,0.683417085427136,0.261728164767998
"144","2009","1950655","Maysville",110,40,107,40,0.972727272727273,0.50729532007133
"145","2009","1931800","Graettinger",436,77,275,71,0.630733944954128,0.197297122289606
"146","2009","1931845","Graf",51,27,51,27,1,0.748701297726933
"147","2009","1931890","Grafton",132,52,104,43,0.787878787878788,0.44994618019328
"148","2009","1931980","Grand Junction",507,87,360,79,0.710059171597633,0.197801651156708
"149","2009","1932025","Grand Mound",377,71,299,61,0.793103448275862,0.22020476556962
"150","2009","1932070","Grand River",47,28,46,28,0.978723404255319,0.833595518929482
"151","2009","1932115","Grandview",185,60,180,57,0.972972972972973,0.441030570176507
"152","2009","1932160","Granger",507,111,428,97,0.844181459566075,0.266012483694815
"153","2009","1932295","Grant",37,20,32,20,0.864864864864865,0.714657402988167
"154","2009","1932475","Granville",179,46,134,44,0.748603351955307,0.312141116498676
"155","2009","1932520","Gravity",93,32,93,32,1,0.486611118235904
"156","2009","1932565","Gray",26,19,15,13,0.576923076923077,0.654021837759227
"157","2009","1932610","Greeley",107,35,96,29,0.897196261682243,0.399479680218024
"158","2009","1932745","Greene",618,82,373,69,0.603559870550162,0.137401882361887
"159","2009","1932790","Greenfield",820,112,315,80,0.384146341463415,0.110775067769293
"160","2009","1932970","Greenville",33,23,31,23,0.939393939393939,0.956261975101747
"161","2009","1933060","Grimes",4521,242,3836,242,0.848484848484849,0.0701997891593914
"162","2009","1933105","Grinnell",4484,321,1052,239,0.234611953612846,0.055884174903397
"163","2009","1933150","Griswold",399,78,244,62,0.611528822055138,0.196053715241364
"164","2009","1933195","Grundy Center",1342,91,637,94,0.474664679582712,0.077085937923698
"165","2009","1933240","Gruver",38,29,32,28,0.842105263157895,0.977725543275783
"166","2009","1933285","Guernsey",26,14,20,13,0.769230769230769,0.649278538345778
"167","2009","1933420","Guthrie Center",779,121,394,117,0.505776636713736,0.169498156025009
"168","2009","1933465","Guttenberg",794,137,362,106,0.455919395465995,0.154954690739664
"169","2009","1933645","Halbur",42,28,26,17,0.619047619047619,0.578058975702544
"170","2009","1933780","Hamburg",568,71,323,67,0.568661971830986,0.137719957890474
"171","2009","1933870","Hamilton",30,15,28,14,0.933333333333333,0.659966329107444
"172","2009","1933960","Hampton",1894,197,698,135,0.368532206969377,0.0809311865378283
"173","2009","1934005","Hancock",65,29,52,25,0.8,0.524712375423981
"174","2009","1934185","Hanlontown",118,42,114,40,0.966101694915254,0.482860041366712
"175","2009","1934365","Hansell",36,15,34,15,0.944444444444444,0.57312122236759
"176","2009","1934410","Harcourt",161,58,138,56,0.857142857142857,0.465113730337968
"177","2009","1934455","Hardy",53,35,50,35,0.943396226415094,0.907867914728573
"178","2009","1934500","Harlan",2546,183,786,164,0.308719560094265,0.0681297102287883
"179","2009","1934545","Harper",49,36,45,35,0.918367346938776,0.982572964876183
"180","2009","1934590","Harpers Ferry",108,49,73,38,0.675925925925926,0.46674004911266
"181","2009","1934635","Harris",126,49,113,41,0.896825396825397,0.476991006839092
"182","2009","1934680","Hartford",357,92,310,81,0.868347338935574,0.318676979352146
"183","2009","1934725","Hartley",808,117,507,100,0.627475247524752,0.153533720369564
"184","2009","1934770","Hartwick",48,20,42,20,0.875,0.553653427746596
"185","2009","1934860","Harvey",147,68,133,65,0.904761904761905,0.608840844379785
"186","2009","1934995","Hastings",66,27,66,27,1,0.578541911879903
"187","2009","1935130","Havelock",60,25,53,23,0.883333333333333,0.53142199467067
"188","2009","1935220","Haverhill",103,42,103,42,1,0.576669607957961
"189","2009","1935265","Hawarden",1240,180,498,104,0.401612903225806,0.102142407942387
"190","2009","1935310","Hawkeye",229,71,169,49,0.737991266375546,0.313270781945784
"191","2009","1935445","Hayesville",26,15,26,15,1,0.815892439830632
"192","2009","1935580","Hazleton",413,97,379,87,0.917675544794189,0.301378251212383
"193","2009","1935670","Hedrick",435,84,385,79,0.885057471264368,0.24938188497661
"194","2009","1935715","Henderson",40,16,38,16,0.95,0.551724568965349
"195","2009","1935760","Hepburn",8,9,8,9,1,1.59099025766973
"196","2009","1935940","Hiawatha",3579,302,3173,275,0.886560491757474,0.107239550916829
"197","2009","1936345","Hills",275,84,248,82,0.901818181818182,0.40594712336137
"198","2009","1936390","Hillsboro",62,26,59,26,0.951612903225806,0.578886982289563
"199","2009","1936480","Hinton",509,87,451,86,0.886051080550098,0.226899104261434
"200","2009","1936705","Holland",136,36,129,34,0.948529411764706,0.354318820670471
"201","2009","1936840","Holstein",671,95,284,59,0.423248882265276,0.106405997935435
"202","2009","1936885","Holy Cross",236,49,184,47,0.779661016949153,0.256644640430882
"203","2009","1937155","Hopkinton",308,71,256,64,0.831168831168831,0.282645350736271
"204","2009","1937200","Hornick",121,28,94,25,0.776859504132231,0.273870927954643
"205","2009","1937290","Hospers",388,67,248,51,0.639175257731959,0.171637846543722
"206","2009","1937335","Houghton",98,42,66,32,0.673469387755102,0.435808864257553
"207","2009","1937425","Hubbard",355,79,192,49,0.540845070422535,0.183132739356145
"208","2009","1937470","Hudson",1232,128,1042,114,0.845779220779221,0.127608584407655
"209","2009","1937515","Hull",1007,92,548,88,0.544190665342602,0.100541252674317
"210","2009","1937560","Humboldt",1922,152,867,137,0.451092611862643,0.07970875046451
"211","2009","1937605","Humeston",154,40,112,36,0.727272727272727,0.300550528746078
"212","2009","1937920","Huxley",1370,125,1130,114,0.824817518248175,0.112195412140738
"213","2009","1938010","Ida Grove",1080,100,320,89,0.296296296296296,0.0868541960119026
"214","2009","1938055","Imogene",15,11,12,10,0.8,0.888044042951825
"215","2009","1938100","Independence",2846,215,1255,188,0.440969782150387,0.0739821522569291
"216","2009","1938280","Indianola",7456,291,4230,326,0.567328326180258,0.0490101511681338
"217","2009","1938415","Inwood",438,80,284,66,0.648401826484018,0.191654659836457
"218","2009","1938460","Ionia",248,62,242,60,0.975806451612903,0.343577018722098
"219","2009","1938595","Iowa City",36651,993,8763,645,0.239093067037734,0.0187527899220002
"220","2009","1938640","Iowa Falls",2444,190,582,121,0.238134206219313,0.0528570551482075
"221","2009","1938820","Ireton",338,70,253,68,0.748520710059172,0.253979702073802
"222","2009","1939000","Irwin",166,49,117,44,0.704819277108434,0.336958965241428
"223","2009","1939135","Jackson Junction",76,53,61,55,0.802631578947368,0.914886012809895
"224","2009","1939225","Jamaica",116,42,100,41,0.862068965517241,0.471539853433392
"225","2009","1939405","Janesville",490,98,416,93,0.848979591836735,0.254662805535311
"226","2009","1939450","Jefferson",2109,153,750,138,0.355618776671408,0.0703361040883568
"227","2009","1939585","Jesup",1489,160,1077,166,0.723304231027535,0.135902555803132
"228","2009","1939675","Jewell Junction",528,77,415,66,0.785984848484849,0.169597712484599
"229","2009","1939765","Johnston",7834,364,6156,333,0.78580546336482,0.0560353102273918
"230","2009","1939855","Joice",140,47,123,46,0.878571428571429,0.441536050890225
"231","2009","1939900","Jolley",22,21,22,21,1,1.34993112771977
"232","2009","1940170","Kalona",1360,149,954,137,0.701470588235294,0.12670388441634
"233","2009","1940215","Kamrar",57,21,47,20,0.824561403508772,0.46411270703496
"234","2009","1940260","Kanawha",322,64,147,37,0.456521739130435,0.146413205843366
"235","2009","1940350","Kellerton",163,54,135,45,0.828220858895706,0.389231270589175
"236","2009","1940395","Kelley",145,37,131,34,0.903448275862069,0.328829113600038
"237","2009","1940440","Kellogg",244,61,207,56,0.848360655737705,0.3125
"238","2009","1940665","Kensett",127,38,117,36,0.921259842519685,0.395394094221618
"239","2009","1940845","Keokuk",4411,348,1102,188,0.249829970528225,0.04695753537622
"240","2009","1940890","Keomah Village",75,28,75,28,1,0.527973063285956
"241","2009","1940935","Keosauqua",495,89,172,45,0.347474747474747,0.110306938247098
"242","2009","1940980","Keota",491,77,315,75,0.641547861507128,0.182906112522488
"243","2009","1941070","Keswick",123,31,117,30,0.951219512195122,0.34199828767739
"244","2009","1941115","Keystone",351,88,278,74,0.792022792022792,0.289616407195255
"245","2009","1941295","Kimballton",188,67,167,65,0.888297872340426,0.468784209278652
"246","2009","1941385","Kingsley",604,103,395,74,0.653973509933775,0.165672740560939
"247","2009","1941475","Kinross",31,12,21,12,0.67741935483871,0.467554095155439
"248","2009","1941520","Kirkman",37,17,35,17,0.945945945945946,0.632456206954555
"249","2009","1941565","Kirkville",35,17,35,17,1,0.686903730295503
"250","2009","1941610","Kiron",152,38,107,31,0.703947368421053,0.269380581482882
"251","2009","1941655","Klemme",433,111,347,102,0.801385681293303,0.312562357059188
"252","2009","1941790","Knierim",52,36,44,36,0.846153846153846,0.90689039818543
"253","2009","1942015","Knoxville",3701,284,1682,230,0.454471764388003,0.0712619606729333
"254","2009","1942285","Lacona",150,35,105,29,0.7,0.253091990303043
"255","2009","1942330","Ladora",123,50,120,50,0.975609756097561,0.567916061535581
"256","2009","1942465","Lake City",783,128,314,83,0.401021711366539,0.124636282154332
"257","2009","1942555","Lake Mills",1116,147,406,80,0.363799283154122,0.0862263716918961
"258","2009","1942600","Lake Park",573,114,327,83,0.570680628272251,0.184046206492592
"259","2009","1942645","Lakeside",460,168,454,168,0.98695652173913,0.513137995871085
"260","2009","1942690","Lake View",573,101,364,88,0.635253054101222,0.190063311386393
"261","2009","1942825","Lakota",122,41,94,31,0.770491803278688,0.362786038664343
"262","2009","1942870","Lambs Grove",83,30,83,30,1,0.511161528568589
"263","2009","1942960","Lamoni",1347,237,370,115,0.274684484038604,0.0981052652225817
"264","2009","1943005","Lamont",264,67,230,66,0.871212121212121,0.333746266364874
"265","2009","1943050","La Motte",123,45,101,43,0.821138211382114,0.460939949541849
"266","2009","1943140","Lanesboro",65,42,58,40,0.892307692307692,0.843284612727158
"267","2009","1943275","Lansing",460,139,307,128,0.667391304347826,0.343655629007932
"268","2009","1943365","La Porte City",1109,152,857,146,0.772768259693417,0.168967287010839
"269","2009","1943410","Larchwood",496,100,361,68,0.727822580645161,0.200817555085657
"270","2009","1943500","Larrabee",80,24,78,25,0.975,0.428033293097628
"271","2009","1943590","Latimer",246,108,204,106,0.829268292682927,0.564106503246751
"272","2009","1943680","Laurel",103,35,79,26,0.766990291262136,0.36283097630502
"273","2009","1943725","Laurens",704,93,221,54,0.313920454545455,0.0871969923437715
"274","2009","1943815","Lawler",166,55,115,36,0.692771084337349,0.315779525191893
"275","2009","1943905","Lawton",551,135,450,100,0.816696914700545,0.270142998460456
"276","2009","1943950","Leando CDP",135,63,135,63,1,0.659966329107444
"277","2009","1944085","Le Claire",1684,213,1267,202,0.752375296912114,0.15311682094385
"278","2009","1944130","Ledyard",54,21,35,16,0.648148148148148,0.389004544388902
"279","2009","1944220","Le Grand",365,51,323,45,0.884931506849315,0.174610048027403
"280","2009","1944265","Lehigh",241,64,217,61,0.900414937759336,0.348197313449931
"281","2009","1944310","Leighton",116,47,95,39,0.818965517241379,0.472378104083332
"282","2009","1944355","Leland",147,47,128,43,0.870748299319728,0.403824418531395
"283","2009","1944400","Le Mars",5161,264,1548,253,0.299941871730285,0.0513664526741548
"284","2009","1944490","Lenox",604,68,233,56,0.385761589403974,0.102383049846636
"285","2009","1944535","Leon",816,126,340,82,0.416666666666667,0.119321783546186
"286","2009","1944580","Le Roy",1,4,1,4,1,5.65685424949238
"287","2009","1944670","Lester",116,46,71,40,0.612068965517241,0.421684251579195
"288","2009","1944715","Letts",217,87,202,86,0.930875576036866,0.544379121878896
"289","2009","1944805","Lewis",205,52,173,36,0.84390243902439,0.27687863606664
"290","2009","1900190","Ackley",851,107,556,83,0.653349001175088,0.127518322771477
"291","2009","1900235","Ackworth",60,45,42,28,0.7,0.702426350429551
"292","2009","1900370","Adair",376,73,219,57,0.582446808510638,0.18912609344024
"293","2009","1900505","Adel",2119,189,1574,193,0.742803209060878,0.112628303936626
"294","2009","1900595","Afton",392,99,287,80,0.732142857142857,0.275388070921117
"295","2009","1900640","Agency",267,78,249,75,0.932584269662921,0.39131562992536
"296","2009","1900730","Ainsworth",283,91,254,87,0.897526501766785,0.421662884178126
"297","2009","1900775","Akron",707,88,438,74,0.619519094766619,0.130005612109108
"298","2009","1900865","Albert City",294,50,195,46,0.663265306122449,0.192884500745986
"299","2009","1900910","Albia",1464,160,579,109,0.395491803278689,0.0860904867376364
"300","2009","1900955","Albion",241,69,210,68,0.871369294605809,0.376633526650836
"301","2009","1901000","Alburnett",345,73,280,66,0.811594202898551,0.257076010788333
"302","2009","1901045","Alden",384,75,300,70,0.78125,0.237725295459903
"303","2009","1901090","Alexander",50,17,39,15,0.78,0.400413586183086
"304","2009","1901135","Algona",2663,198,605,135,0.227187382651145,0.0534349049641283
"305","2009","1901180","Alleman",270,73,227,64,0.840740740740741,0.32841592970931
"306","2009","1901270","Allerton",289,91,250,87,0.865051903114187,0.405978283723009
"307","2009","1901315","Allison",389,66,235,50,0.604113110539846,0.16439852479077
"308","2009","1901495","Alta",948,105,701,89,0.739451476793249,0.124585798571349
"309","2009","1901540","Alta Vista",112,44,88,39,0.785714285714286,0.465330527130322
"310","2009","1901585","Alton",577,72,466,70,0.807625649913345,0.157715272631182
"311","2009","1901630","Altoona",7675,315,6165,381,0.803257328990228,0.0595915940623863
"312","2009","1901675","Alvord",111,35,81,27,0.72972972972973,0.334829756623
"313","2009","1901855","Ames",30959,753,7090,749,0.22901256500533,0.0248262324525961
"314","2009","1901990","Anamosa",2098,231,1228,179,0.585319351763584,0.106924010222638
"315","2009","1902080","Andover",49,17,46,17,0.938775510204082,0.475862855797237
"316","2009","1902125","Andrew",158,56,127,51,0.80379746835443,0.430525822228905
"317","2009","1902260","Anita",492,99,314,69,0.638211382113821,0.190158350607782
"318","2009","1902305","Ankeny",22673,535,15810,603,0.697305164733383,0.0312737991508224
"319","2009","1902350","Anthon",278,59,164,51,0.589928057553957,0.222104187903919
"320","2009","1902395","Aplington",477,73,323,63,0.677148846960168,0.167878711380427
"321","2009","1902485","Arcadia",249,62,182,52,0.730923694779116,0.277011067130811
"322","2009","1902530","Archer",40,16,21,12,0.525,0.366196668472011
"323","2009","1902620","Aredale",18,13,9,9,0.5,0.616766758643737
"324","2009","1902755","Arion",47,25,45,23,0.957446808510638,0.706286921325304
"325","2009","1902800","Arispe",63,38,36,24,0.571428571428571,0.513734322304083
"326","2009","1902845","Arlington",222,52,167,41,0.752252252252252,0.255256755268461
"327","2009","1902935","Armstrong",488,86,260,52,0.532786885245902,0.14202227643822
"328","2009","1903025","Arnolds Park",427,89,281,61,0.65807962529274,0.198045862976101
"329","2009","1903115","Arthur",102,28,100,28,0.980392156862745,0.384428294808716
"330","2009","1903160","Asbury",1946,133,1738,135,0.89311408016444,0.0924041434271474
"331","2009","1903295","Ashton",209,43,166,40,0.794258373205742,0.251659855749419
"332","2009","1903340","Aspinwall",22,14,17,13,0.772727272727273,0.768750539677617
"333","2009","1903385","Atalissa",191,77,185,77,0.968586387434555,0.561244534934822
"334","2009","1903475","Atkins",905,144,771,123,0.851933701657459,0.191956960139266
"335","2009","1903520","Atlantic",3274,211,780,158,0.238240684178375,0.0506426244807521
"336","2009","1903610","Auburn",95,37,83,37,0.873684210526316,0.517182939661677
"337","2009","1903655","Audubon",1138,151,564,129,0.495606326889279,0.131050859141324
"338","2009","1903745","Aurelia",451,75,356,62,0.789356984478936,0.190078567508917
"339","2009","1903835","Aurora",65,21,47,18,0.723076923076923,0.362297907553222
"340","2009","1903970","Avoca",771,88,512,67,0.664072632944228,0.115310894520648
"341","2009","1904105","Ayrshire",66,29,60,28,0.909090909090909,0.582701610379414
"342","2009","1904195","Badger",276,67,258,63,0.934782608695652,0.321864191018217
"343","2009","1904240","Bagley",121,44,95,36,0.785123966942149,0.412345218615517
"344","2009","1904330","Baldwin",41,20,36,18,0.878048780487805,0.613349346458428
"345","2009","1904375","Balltown",70,54,49,32,0.7,0.707516495805387
"346","2009","1904420","Bancroft",357,67,146,36,0.408963585434174,0.126726809596563
"347","2009","1904510","Bankston",8,9,6,9,0.75,1.40625
"348","2009","1904555","Barnes City",94,56,68,41,0.723404255319149,0.613167699947992
"349","2009","1904645","Barnum",89,38,84,36,0.943820224719101,0.570971207219845
"350","2009","1904780","Bassett",50,34,46,34,0.92,0.923999653679589
"351","2009","1904825","Batavia",310,74,267,68,0.861290322580645,0.300644675069979
"352","2009","1904870","Battle Creek",344,55,290,53,0.843023255813954,0.204706318437422
"353","2009","1904915","Baxter",451,88,374,78,0.829268292682927,0.236840306963724
