address,city,state,source,city_id,image_name,image_url,lon,lat,date,sq_ft,year_built,assessed_value
2068 JAMESTOWN AVE,Independence,Iowa,V,D,V_D_2068_JAMESTOWN_AVE,,-91.8880423,42.4876587,,,,
1998 206TH ST,Independence,Iowa,V,D,V_D_1998_206TH_ST,,-91.8855629,42.4878911,,,,
2066 JAMESTOWN AVE,Independence,Iowa,V,D,V_D_2066_JAMESTOWN_AVE,,-91.8873938,42.4877077,,,,
1805 8TH AVE NE,Independence,Iowa,V,D,V_D_1805_8TH_AVE_NE,,-91.884921,42.488009,,,,
2064 JAMESTOWN AVE,Independence,Iowa,V,D,V_D_2064_JAMESTOWN_AVE,,-91.8889005,42.4881238,,,,
1980 206TH ST,Independence,Iowa,V,D,V_D_1980_206TH_ST,,-91.8880423,42.4882721,,,,
1986 206TH ST,Independence,Iowa,V,D,V_D_1986_206TH_ST,,-91.8873747,42.4882255,,,,
1901 8TH AVE NE,Independence,Iowa,V,D,V_D_1901_8TH_AVE_NE,,-91.884919,42.488298,,,,
2080 JAMESTOWN AVE,Independence,Iowa,V,D,V_D_2080_JAMESTOWN_AVE,,-91.8889196,42.4863025,,,,
2076 JAMESTOWN AVE,Independence,Iowa,V,D,V_D_2076_JAMESTOWN_AVE,,-91.8890531,42.4867412,,,,
2074 JAMESTOWN AVE,Independence,Iowa,V,D,V_D_2074_JAMESTOWN_AVE,,-91.8885763,42.4871516,,,,
1505 NORTH RIDGE CT NE,Independence,Iowa,V,D,V_D_1505_NORTH_RIDGE_CT_NE,,-91.889034,42.4846905,,,,
520 12TH ST NE,Independence,Iowa,V,D,V_D_520_12TH_ST_NE,,-91.8877371,42.479881,,,,
1200 6TH AVE NE,Independence,Iowa,V,D,V_D_1200_6TH_AVE_NE,,-91.8871459,42.4798715,,,,
714 12TH ST NE,Independence,Iowa,V,D,V_D_714_12TH_ST_NE,,-91.8854675,42.4798991,,,,
720 12TH ST NE,Independence,Iowa,V,D,V_D_720_12TH_ST_NE,,-91.8848382,42.4798902,,,,
1205 6TH AVE NE,Independence,Iowa,V,D,V_D_1205_6TH_AVE_NE,,-91.8876227,42.4801129,,,,
1204 6TH AVE NE,Independence,Iowa,V,D,V_D_1204_6TH_AVE_NE,,-91.8871459,42.4801016,,,,
610 12TH ST NE,Independence,Iowa,V,D,V_D_610_12TH_ST_NE,,-91.8867644,42.4798778,,,,
700 12TH ST NE,Independence,Iowa,V,D,V_D_700_12TH_ST_NE,,-91.8860969,42.4799079,,,,
710 12TH ST NE,Independence,Iowa,V,D,V_D_710_12TH_ST_NE,,-91.8858299,42.4798739,,,,
1200 5TH AVE NE,Independence,Iowa,V,D,V_D_1200_5TH_AVE_NE,,-91.8892248,42.4800099,,,,
1211 6TH AV NE,Independence,Iowa,V,D,V_D_1211_6TH_AV_NE,,-91.8876227,42.480343,,,,
1210 6TH AVE NE,Independence,Iowa,V,D,V_D_1210_6TH_AVE_NE,,-91.8871459,42.4803316,,,,
1210 5TH AVE NE,Independence,Iowa,V,D,V_D_1210_5TH_AVE_NE,,-91.8890345,42.4804878,,,,
508 12TH ST NE,Independence,Iowa,V,D,V_D_508_12TH_ST_NE,,-91.889034,42.4804732,,,,
510 12TH ST NE,Independence,Iowa,V,D,V_D_510_12TH_ST_NE,,-91.8883093,42.4801783,,,,
516 12TH ST NE,Independence,Iowa,V,D,V_D_516_12TH_ST_NE,,-91.8881185,42.4799131,,,,
1213 8TH AVE NE,Independence,Iowa,V,D,V_D_1213_8TH_AVE_NE,,-91.8848001,42.4804659,,,,
1215 6TH AVE NE,Independence,Iowa,V,D,V_D_1215_6TH_AVE_NE,,-91.8876227,42.4805347,,,,
1221 8TH AVE NE,Independence,Iowa,V,D,V_D_1221_8TH_AVE_NE,,-91.8849145,42.4807325,,,,
1221 6TH AVE NE,Independence,Iowa,V,D,V_D_1221_6TH_AVE_NE,,-91.8876608,42.4808024,,,,
1220 6TH AVE NE,Independence,Iowa,V,D,V_D_1220_6TH_AVE_NE,,-91.8871649,42.4808489,,,,
1223 6TH AVE NE,Independence,Iowa,V,D,V_D_1223_6TH_AVE_NE,,-91.8876608,42.4810708,,,,
1224 6TH AVE NE,Independence,Iowa,V,D,V_D_1224_6TH_AVE_NE,,-91.8871459,42.4810218,,,,
501 13TH ST NE,Independence,Iowa,V,D,V_D_501_13TH_ST_NE,,-91.88862,42.480968,,,,
1230 6TH AVE NE,Independence,Iowa,V,D,V_D_1230_6TH_AVE_NE,,-91.8871649,42.4812707,,,,
611 13TH ST NE,Independence,Iowa,V,D,V_D_611_13TH_ST_NE,,-91.8867072,42.4812015,,,,
705 13TH ST NE,Independence,Iowa,V,D,V_D_705_13TH_ST_NE,,-91.8860778,42.481116,,,,
711 13TH ST NE,Independence,Iowa,V,D,V_D_711_13TH_ST_NE,,-91.8857536,42.4811788,,,,
717 13TH ST NE,Independence,Iowa,V,D,V_D_717_13TH_ST_NE,,-91.8853722,42.481185,,,,
1229 8TH AVE NE,Independence,Iowa,V,D,V_D_1229_8TH_AVE_NE,,-91.8849526,42.4811919,,,,
712 13TH ST NE,Independence,Iowa,V,D,V_D_712_13TH_ST_NE,,-91.885601,42.4816797,,,,
716 13TH ST NE,Independence,Iowa,V,D,V_D_716_13TH_ST_NE,,-91.8852196,42.481686,,,,
720 13TH ST NE,Independence,Iowa,V,D,V_D_720_13TH_ST_NE,,-91.8848382,42.4817306,,,,
500/512 13TH ST NE,Independence,Iowa,V,D,V_D_500/512_13TH_ST_NE,,-91.8891103,42.4816605,,,,
500/512 13TH ST NE,Independence,Iowa,V,D,V_D_500/512_13TH_ST_NE,,-91.8891103,42.4816605,,,,
 6TH AVE NE,Independence,Iowa,V,D,V_D_6TH_AVE_NE,,-91.8881739,42.4770375,,,,
1303 8TH AVE NE,Independence,Iowa,V,D,V_D_1303_8TH_AVE_NE,,-91.8849145,42.4821894,,,,
1308 5TH AVE NE,Independence,Iowa,V,D,V_D_1308_5TH_AVE_NE,,-91.8889768,42.4827553,,,,
1307 8TH AVE NE,Independence,Iowa,V,D,V_D_1307_8TH_AVE_NE,,-91.885222,42.4826059,,,,
 6TH AVE NE,Independence,Iowa,V,D,V_D_6TH_AVE_NE,,-91.8881739,42.4770375,,,,
1312 5TH AVE NE,Independence,Iowa,V,D,V_D_1312_5TH_AVE_NE,,-91.8889768,42.483062,,,,
1313 8TH AVE NE,Independence,Iowa,V,D,V_D_1313_8TH_AVE_NE,,-91.8849145,42.4829562,,,,
1399 6TH AVE NE,Independence,Iowa,V,D,V_D_1399_6TH_AVE_NE,,-91.8881567,42.483248,,,,
700 13TH ST NE,Independence,Iowa,V,D,V_D_700_13TH_ST_NE,,-91.8871459,42.4817886,,,,
601 14TH ST NE,Independence,Iowa,V,D,V_D_601_14TH_ST_NE,,-91.8876227,42.4831418,,,,
700 13TH ST NE,Independence,Iowa,V,D,V_D_700_13TH_ST_NE,,-91.8871459,42.4817886,,,,
1207 8TH AVE NE,Independence,Iowa,V,D,V_D_1207_8TH_AVE_NE,,-91.8848382,42.4802353,,,,
1225 8TH AVE NE,Independence,Iowa,V,D,V_D_1225_8TH_AVE_NE,,-91.8849622,42.4810288,,,,
1231 6TH AVE NE,Independence,Iowa,V,D,V_D_1231_6TH_AVE_NE,,-91.8876608,42.4812625,,,,
1214 6TH AVE NE,Independence,Iowa,V,D,V_D_1214_6TH_AVE_NE,,-91.8871268,42.4806195,,,,
902 HOMEWAY DR NE,Independence,Iowa,V,D,V_D_902_HOMEWAY_DR_NE,,-91.8828548,42.4716403,,,,
618 6TH AVE NE,Independence,Iowa,V,D,V_D_618_6TH_AVE_NE,,-91.8876227,42.4745148,,,,
814 NELSON AVE NE,Independence,Iowa,V,D,V_D_814_NELSON_AVE_NE,,-91.895871,42.476413,,,,
 9TH AVE NE,Independence,Iowa,V,D,V_D_9TH_AVE_NE,,-91.8831935,42.4735111,,,,
507/509 NELSON AVE NE,Independence,Iowa,V,D,V_D_507/509_NELSON_AVE_NE,,-91.896682,42.472858,,,,
210 5TH AVE NE,Independence,Iowa,V,D,V_D_210_5TH_AVE_NE,,-91.8886335,42.4703759,,,,
801 3RD ST NE,Independence,Iowa,V,D,V_D_801_3RD_ST_NE,,-91.8847714,42.4708132,,,,
807 3RD ST NE,Independence,Iowa,V,D,V_D_807_3RD_ST_NE,,-91.8843996,42.4707905,,,,
813 3RD ST NE,Independence,Iowa,V,D,V_D_813_3RD_ST_NE,,-91.8839419,42.4706446,,,,
817 3RD ST NE,Independence,Iowa,V,D,V_D_817_3RD_ST_NE,,-91.8836558,42.4707452,,,,
217 9TH AVE NE,Independence,Iowa,V,D,V_D_217_9TH_AVE_NE,,-91.8834079,42.47073,,,,
905 3RD ST NE,Independence,Iowa,V,D,V_D_905_3RD_ST_NE,,-91.8825116,42.4706489,,,,
917 3RD ST NE,Independence,Iowa,V,D,V_D_917_3RD_ST_NE,,-91.8818632,42.4707362,,,,
1007 3RD ST NE,Independence,Iowa,V,D,V_D_1007_3RD_ST_NE,,-91.8813292,42.4707066,,,,
1013 3RD ST NE,Independence,Iowa,V,D,V_D_1013_3RD_ST_NE,,-91.8809669,42.4706933,,,,
208 2ND ST NE,Independence,Iowa,V,D,V_D_208_2ND_ST_NE,,-91.8925915,42.4700036,,,,
216 2ND ST NE,Independence,Iowa,V,D,V_D_216_2ND_ST_NE,,-91.8921812,42.4700491,,,,
201 8TH AVE NE,Independence,Iowa,V,D,V_D_201_8TH_AVE_NE,,-91.8852387,42.4699331,,,,
 3RD AVE NE,Independence,Iowa,V,D,V_D_3RD_AVE_NE,,-91.8918157,42.4724768,,,,
200 2ND AVE NE,Independence,Iowa,V,D,V_D_200_2ND_AVE_NE,,-91.8930205,42.4700353,,,,
706 2ND ST NE,Independence,Iowa,V,D,V_D_706_2ND_ST_NE,,-91.8859443,42.469979,,,,
201 3RD AVE NE,Independence,Iowa,V,D,V_D_201_3RD_AVE_NE,,-91.8920428,42.4700283,,,,
200 7TH AVE NE,Independence,Iowa,V,D,V_D_200_7TH_AVE_NE,,-91.8862495,42.469974,,,,
231 2ND AVE NE,Independence,Iowa,V,D,V_D_231_2ND_AVE_NE,,-91.8934973,42.4707369,,,,
217 8TH AVE NE,Independence,Iowa,V,D,V_D_217_8TH_AVE_NE,,-91.8852959,42.4705265,,,,
218 2ND AVE NE,Independence,Iowa,V,D,V_D_218_2ND_AVE_NE,,-91.8930395,42.4707445,,,,
216 7TH AVE NE,Independence,Iowa,V,D,V_D_216_7TH_AVE_NE,,-91.8861541,42.4706083,,,,
209 3RD ST NE,Independence,Iowa,V,D,V_D_209_3RD_ST_NE,,-91.892391,42.4707168,,,,
217 3RD AVE NE,Independence,Iowa,V,D,V_D_217_3RD_AVE_NE,,-91.892124,42.4707212,,,,
218 3RD AVE NE,Independence,Iowa,V,D,V_D_218_3RD_AVE_NE,,-91.8914395,42.4707111,,,,
313 3RD ST NE,Independence,Iowa,V,D,V_D_313_3RD_ST_NE,,-91.8910367,42.4707582,,,,
217 4TH AVE NE,Independence,Iowa,V,D,V_D_217_4TH_AVE_NE,,-91.890598,42.4707463,,,,
209 5TH AVE NE,Independence,Iowa,V,D,V_D_209_5TH_AVE_NE,,-91.8900449,42.470161,,,,
 2ND ST NE,Independence,Iowa,V,D,V_D_2ND_ST_NE,,-91.8870682,42.4698415,,,,
206 3RD AVE NE,Independence,Iowa,V,D,V_D_206_3RD_AVE_NE,,-91.8914945,42.4702905,,,,
200 8TH AVE NE,Independence,Iowa,V,D,V_D_200_8TH_AVE_NE,,-91.8847047,42.4700952,,,,
201 9TH AVE NE,Independence,Iowa,V,D,V_D_201_9TH_AVE_NE,,-91.8833507,42.4700982,,,,
210 2ND ST NE,Independence,Iowa,V,D,V_D_210_2ND_ST_NE,,-91.8924677,42.4701224,,,,
205 3RD AVE NE,Independence,Iowa,V,D,V_D_205_3RD_AVE_NE,,-91.8921049,42.4702038,,,,
 CORRINE AVE,Independence,Iowa,V,D,V_D_CORRINE_AVE,,-91.8941639,42.470894,,,,
209 8TH AVE NE,Independence,Iowa,V,D,V_D_209_8TH_AVE_NE,,-91.885315,42.4703153,,,,
207 2ND AVE NE,Independence,Iowa,V,D,V_D_207_2ND_AVE_NE,,-91.893669,42.4701397,,,,
207 8TH AVE NE,Independence,Iowa,V,D,V_D_207_8TH_AVE_NE,,-91.8852578,42.470182,,,,
1016 2ND ST NE,Independence,Iowa,V,D,V_D_1016_2ND_ST_NE,,-91.8810623,42.470059,,,,
202 2ND AVE NE,Independence,Iowa,V,D,V_D_202_2ND_AVE_NE,,-91.8928488,42.4702491,,,,
206 7TH AVE NE,Independence,Iowa,V,D,V_D_206_7TH_AVE_NE,,-91.8862113,42.4701664,,,,
206 3RD AVE NE,Independence,Iowa,V,D,V_D_206_3RD_AVE_NE,,-91.8914945,42.4702905,,,,
209 4TH AVE NE,Independence,Iowa,V,D,V_D_209_4TH_AVE_NE,,-91.8906743,42.4702849,,,,
201 CORINNE,Independence,Iowa,V,D,V_D_201_CORINNE,,-91.8943176,42.4700907,,,,
 2ND AVE NE,Independence,Iowa,V,D,V_D_2ND_AVE_NE,,-91.8932748,42.4735372,,,,
209 3RD AVE NE,Independence,Iowa,V,D,V_D_209_3RD_AVE_NE,,-91.892124,42.4704144,,,,
208 8TH AVE NE,Independence,Iowa,V,D,V_D_208_8TH_AVE_NE,,-91.8847047,42.4703253,,,,
210 2ND AVE NE,Independence,Iowa,V,D,V_D_210_2ND_AVE_NE,,-91.8930014,42.4704383,,,,
812 2ND ST NE,Independence,Iowa,V,D,V_D_812_2ND_ST_NE,,-91.8839991,42.4700876,,,,
816 2ND ST NE,Independence,Iowa,V,D,V_D_816_2ND_ST_NE,,-91.883684,42.47019,,,,
207 9TH AVE NE,Independence,Iowa,V,D,V_D_207_9TH_AVE_NE,,-91.8834079,42.4703466,,,,
215 2ND AVE NE,Independence,Iowa,V,D,V_D_215_2ND_AVE_NE,,-91.8937262,42.4705414,,,,
1000 2ND ST NE,Independence,Iowa,V,D,V_D_1000_2ND_ST_NE,,-91.8815772,42.4702231,,,,
1008 2ND ST NE,Independence,Iowa,V,D,V_D_1008_2ND_ST_NE,,-91.8812148,42.4701332,,,,
203 11TH AVE NE,Independence,Iowa,V,D,V_D_203_11TH_AVE_NE,,-91.8809479,42.4703293,,,,
210 8TH AVE NE,Independence,Iowa,V,D,V_D_210_8TH_AVE_NE,,-91.8846093,42.4705378,,,,
210 7TH AVE NE,Independence,Iowa,V,D,V_D_210_7TH_AVE_NE,,-91.8861732,42.4703588,,,,
211 4TH AVE NE,Independence,Iowa,V,D,V_D_211_4TH_AVE_NE,,-91.890598,42.4705162,,,,
212 3RD AVE NE,Independence,Iowa,V,D,V_D_212_3RD_AVE_NE,,-91.8914754,42.4705018,,,,
211 3RD AVE NE,Independence,Iowa,V,D,V_D_211_3RD_AVE_NE,,-91.892124,42.4705294,,,,
 8TH AVE NE,Independence,Iowa,V,D,V_D_8TH_AVE_NE,,-91.8844781,42.4760456,,,,
916 2ND ST NE,Independence,Iowa,V,D,V_D_916_2ND_ST_NE,,-91.8819013,42.470122,,,,
215 4TH AVE NE,Independence,Iowa,V,D,V_D_215_4TH_AVE_NE,,-91.8906362,42.4706306,,,,
216 8TH AVE NE,Independence,Iowa,V,D,V_D_216_8TH_AVE_NE,,-91.8848001,42.4706114,,,,
 CORINE AVE,Independence,Iowa,V,D,V_D_CORINE_AVE,,-91.8941639,42.470894,,,,
109 3RD ST NE,Independence,Iowa,V,D,V_D_109_3RD_ST_NE,,-91.8947181,42.4706785,,,,
301 2ND AVE NE,Independence,Iowa,V,D,V_D_301_2ND_AVE_NE,,-91.8936118,42.4710418,,,,
305 2ND AVE NE,Independence,Iowa,V,D,V_D_305_2ND_AVE_NE,,-91.8936118,42.4711569,,,,
600/602 3RD ST NE,Independence,Iowa,V,D,V_D_600/602_3RD_ST_NE,,-91.8876608,42.471063,,,,
200 3RD ST NE,Independence,Iowa,V,D,V_D_200_3RD_ST_NE,,-91.893154,42.4710494,,,,
204 3RD ST NE,Independence,Iowa,V,D,V_D_204_3RD_ST_NE,,-91.8929632,42.4710909,,,,
208 3RD ST NE,Independence,Iowa,V,D,V_D_208_3RD_ST_NE,,-91.8926199,42.4710965,,,,
214 3RD ST NE,Independence,Iowa,V,D,V_D_214_3RD_ST_NE,,-91.8923338,42.4711204,,,,
300 3RD AVE NE,Independence,Iowa,V,D,V_D_300_3RD_AVE_NE,,-91.8921049,42.4711242,,,,
300 5TH AVE NE,Independence,Iowa,V,D,V_D_300_5TH_AVE_NE,,-91.8891294,42.4711731,,,,
402 3RD ST NE,Independence,Iowa,V,D,V_D_402_3RD_ST_NE,,-91.8901212,42.4712335,,,,
404 3RD ST NE,Independence,Iowa,V,D,V_D_404_3RD_ST_NE,,-91.8898351,42.471104,,,,
408 3RD ST NE,Independence,Iowa,V,D,V_D_408_3RD_ST_NE,,-91.8896444,42.4711454,,,,
302 8TH AVE NE,Independence,Iowa,V,D,V_D_302_8TH_AVE_NE,,-91.8848001,42.4711866,,,,
331 CORRINE AVE NE,Independence,Iowa,V,D,V_D_331_CORRINE_AVE_NE,,-91.8945465,42.4713907,,,,
309 2ND AVE NE,Independence,Iowa,V,D,V_D_309_2ND_AVE_NE,,-91.8937289,42.471331,,,,
401 1ST AVE NE,Independence,Iowa,V,D,V_D_401_1ST_AVE_NE,,-91.8952144,42.4714197,,,,
716 3RD ST NE,Independence,Iowa,V,D,V_D_716_3RD_ST_NE,,-91.8852959,42.4710251,,,,
302 9TH AVE NE,Independence,Iowa,V,D,V_D_302_9TH_AVE_NE,,-91.882893,42.4711795,,,,
904 3RD ST NE,Independence,Iowa,V,D,V_D_904_3RD_ST_NE,,-91.8827023,42.4711443,,,,
710 3RD ST NE,Independence,Iowa,V,D,V_D_710_3RD_ST_NE,,-91.8856773,42.4710955,,,,
908 3RD ST NE,Independence,Iowa,V,D,V_D_908_3RD_ST_NE,,-91.8824734,42.471148,,,,
308 10TH AVE NE,Independence,Iowa,V,D,V_D_308_10TH_AVE_NE,,-91.8815199,42.471432,,,,
309 11TH AVE NE,Independence,Iowa,V,D,V_D_309_11TH_AVE_NE,,-91.8809669,42.4714603,,,,
313 9TH AVE NE,Independence,Iowa,V,D,V_D_313_9TH_AVE_NE,,-91.8833949,42.471612,,,,
405 2ND AVE NE,Independence,Iowa,V,D,V_D_405_2ND_AVE_NE,,-91.8936499,42.4717698,,,,
314 8TH AVE NE,Independence,Iowa,V,D,V_D_314_8TH_AVE_NE,,-91.8848001,42.4716468,,,,
404 2ND AVE NE,Independence,Iowa,V,D,V_D_404_2ND_AVE_NE,,-91.8930014,42.4717421,,,,
206 4TH ST NE,Independence,Iowa,V,D,V_D_206_4TH_ST_NE,,-91.8927343,42.4715548,,,,
908 HOMEWAY DR,Independence,Iowa,V,D,V_D_908_HOMEWAY_DR,,-91.8824925,42.4716654,,,,
317 8TH AVE NE,Independence,Iowa,V,D,V_D_317_8TH_AVE_NE,,-91.8853722,42.4717141,,,,
713 4TH ST NE,Independence,Iowa,V,D,V_D_713_4TH_ST_NE,,-91.8855248,42.4716732,,,,
706 3RD ST NE,Independence,Iowa,V,D,V_D_706_3RD_ST_NE,,-91.8859062,42.4710534,,,,
302 7TH AVE NE,Independence,Iowa,V,D,V_D_302_7TH_AVE_NE,,-91.886204,42.4711398,,,,
614 3RD ST NE,Independence,Iowa,V,D,V_D_614_3RD_ST_NE,,-91.8867644,42.4711352,,,,
610 3RD ST NE,Independence,Iowa,V,D,V_D_610_3RD_ST_NE,,-91.8870886,42.4710724,,,,
306 5TH AVE NE,Independence,Iowa,V,D,V_D_306_5TH_AVE_NE,,-91.8891485,42.4713453,,,,
606 3RD ST NE,Independence,Iowa,V,D,V_D_606_3RD_ST_NE,,-91.887361,42.471183,,,,
508 3RD ST NE,Independence,Iowa,V,D,V_D_508_3RD_ST_NE,,-91.8888242,42.4711014,,,,
512 3RD ST NE,Independence,Iowa,V,D,V_D_512_3RD_ST_NE,,-91.8885191,42.4711064,,,,
308 6TH AVE NE,Independence,Iowa,V,D,V_D_308_6TH_AVE_NE,,-91.887699,42.4712924,,,,
307 6TH AVE NE,Independence,Iowa,V,D,V_D_307_6TH_AVE_NE,,-91.888233,42.471322,,,,
900 2ND ST NE,Independence,Iowa,V,D,V_D_900_2ND_ST_NE,,-91.882584,42.470193,,,,
1002 3RD ST NE,Independence,Iowa,V,D,V_D_1002_3RD_ST_NE,,-91.8815581,42.4711246,,,,
1006 3RD ST NE,Independence,Iowa,V,D,V_D_1006_3RD_ST_NE,,-91.8812911,42.471129,,,,
307 11TH AVE NE,Independence,Iowa,V,D,V_D_307_11TH_AVE_NE,,-91.8809669,42.4712302,,,,
903 HOMEWAY DR NE,Independence,Iowa,V,D,V_D_903_HOMEWAY_DR_NE,,-91.882893,42.4713712,,,,
306 8TH AVE NE,Independence,Iowa,V,D,V_D_306_8TH_AVE_NE,,-91.8848001,42.47134,,,,
907 HOMEWAY DR NE,Independence,Iowa,V,D,V_D_907_HOMEWAY_DR_NE,,-91.8825116,42.4713775,,,,
808 3RD ST NE,Independence,Iowa,V,D,V_D_808_3RD_ST_NE,,-91.8844091,42.4711834,,,,
812 3RD ST NE,Independence,Iowa,V,D,V_D_812_3RD_ST_NE,,-91.8839991,42.4711997,,,,
816 3RD ST NE,Independence,Iowa,V,D,V_D_816_3RD_ST_NE,,-91.8837321,42.4711657,,,,
309 9TH AVE NE,Independence,Iowa,V,D,V_D_309_9TH_AVE_NE,,-91.883393,42.471455,,,,
400 2ND AVE NE,Independence,Iowa,V,D,V_D_400_2ND_AVE_NE,,-91.8930395,42.4715498,,,,
403 2ND AVE NE,Independence,Iowa,V,D,V_D_403_2ND_AVE_NE,,-91.8936881,42.4716158,,,,
 1ST AVE NE,Independence,Iowa,V,D,V_D_1ST_AVE_NE,,-91.8948474,42.4772463,,,,
614 3RD ST NE,Independence,Iowa,V,D,V_D_614_3RD_ST_NE,,-91.8867644,42.4711352,,,,
311 8TH AVE NE,Independence,Iowa,V,D,V_D_311_8TH_AVE_NE,,-91.885334,42.4714463,,,,
313 6TH AVE NE,Independence,Iowa,V,D,V_D_313_6TH_AVE_NE,,-91.8883093,42.4715508,,,,
312 5TH AVE NE,Independence,Iowa,V,D,V_D_312_5TH_AVE_NE,,-91.8891103,42.471576,,,,
700 7TH AVE NE,Independence,Iowa,V,D,V_D_700_7TH_AVE_NE,,-91.8861541,42.4749799,,,,
708 7TH ST NE,Independence,Iowa,V,D,V_D_708_7TH_ST_NE,,-91.8857155,42.4748528,,,,
806 1ST AVE NE,Independence,Iowa,V,D,V_D_806_1ST_AVE_NE,,-91.8945655,42.4762028,,,,
802 5TH AVE NE,Independence,Iowa,V,D,V_D_802_5TH_AVE_NE,,-91.8890722,42.4759481,,,,
811 NELSON AVE NE,Independence,Iowa,V,D,V_D_811_NELSON_AVE_NE,,-91.89669,42.476179,,,,
802 NELSON AVE NE,Independence,Iowa,V,D,V_D_802_NELSON_AVE_NE,,-91.8960153,42.4762173,,,,
810 2ND AVE NE,Independence,Iowa,V,D,V_D_810_2ND_AVE_NE,,-91.8930395,42.476228,,,,
806 3RD AVE NE,Independence,Iowa,V,D,V_D_806_3RD_AVE_NE,,-91.8915899,42.4762135,,,,
