Parcel Number,Photo,url_shift,link,address,address_trim,Address_uncut,Style,Year Built,Total SF,Lot Area,Appraised Value,Url
10.02.200.018,,,,,,"
              
                      ",,,,$630 ,$630 ,https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.03.326.005,,,,INDEPENDENCE,INDEPENDENCE,"
              INDEPENDENCE
                      ",,,,"$2,560 ","$2,560 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.04.280.015,,,,,,"
              
                      ",,,,"$2,220 ","$2,220 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.04.334.005,,,,INDEPENDENCE,INDEPENDENCE,"
              INDEPENDENCE
                      ",,,,"$5,650 ","$5,650 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.04.351.007,,,,,,"
              
                      ",,,,"$20,500 ","$20,500 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.09.206.014,,,,,,"
              
                      ",,,,"$1,980 ","$1,980 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
15.05.300.009,,,,,,"
              
                      ",,,,"$11,990 ","$11,990 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.35.355.004,https://photos.camavision.com/7bff8c97f11a8275aaaf7fea347a0104/70,https://photos.camavision.com/7bff8c97f11a8275aaaf7fea347a0104,https://photos.camavision.com/7bff8c97f11a8275aaaf7fea347a0104,"308 10TH AVE NE, INDEPENDENCE","308 10TH AVE NE, INDEPENDENCE","
            308 10TH AVE NE, INDEPENDENCE
                      ",Split Foyer Frame,1975,1056,"$141,540 ","$141,540 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.35.355.001,https://photos.camavision.com/d5c8883dcbd25481a2b018728447c3f2/70,https://photos.camavision.com/d5c8883dcbd25481a2b018728447c3f2,https://photos.camavision.com/d5c8883dcbd25481a2b018728447c3f2,"314 10TH AVE NE, INDEPENDENCE","314 10TH AVE NE, INDEPENDENCE","
            314 10TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1960,960,"$128,170 ","$128,170 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.33.479.018,https://photos.camavision.com/750a9b2e6cc4e16de55ef1e61fa1b20e/70,https://photos.camavision.com/750a9b2e6cc4e16de55ef1e61fa1b20e,https://photos.camavision.com/750a9b2e6cc4e16de55ef1e61fa1b20e,"305 10TH AVE NW, INDEPENDENCE","305 10TH AVE NW, INDEPENDENCE","
            305 10TH AVE NW, INDEPENDENCE
                      ",1 Story Frame,1988,1061,"$150,060 ","$150,060 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.27.151.010,https://photos.camavision.com/0af909e2afd4e06cc70d871347484b4a/70,https://photos.camavision.com/0af909e2afd4e06cc70d871347484b4a,https://photos.camavision.com/0af909e2afd4e06cc70d871347484b4a,,,"
              
                      ",,,,$630 ,$630 ,https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.33.453.002,https://photos.camavision.com/bf376d13074083f70da27bc4ddc9bec8/70,https://photos.camavision.com/bf376d13074083f70da27bc4ddc9bec8,https://photos.camavision.com/bf376d13074083f70da27bc4ddc9bec8,INDEPENDENCE,INDEPENDENCE,"
              INDEPENDENCE
                      ",,,,"$13,470 ","$13,470 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.34.153.004,,,,,,"
              
                      ",,,,"$1,360 ","$1,360 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.34.229.024,,,,INDEPENDENCE,INDEPENDENCE,"
              INDEPENDENCE
                      ",,,,"$11,900 ","$11,900 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.34.376.010,https://photos.camavision.com/35a028e45732dec2f51ccc15a495f62e/70,https://photos.camavision.com/35a028e45732dec2f51ccc15a495f62e,https://photos.camavision.com/35a028e45732dec2f51ccc15a495f62e,,,"
              
                      ",,,,"$16,450 ","$16,450 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.34.459.010,,,,,,"
              
                      ",,,,"$2,530 ","$2,530 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.34.490.018,https://photos.camavision.com/30a8f3b59f0fa964e1c7f0c7109263c4/70,https://photos.camavision.com/30a8f3b59f0fa964e1c7f0c7109263c4,https://photos.camavision.com/30a8f3b59f0fa964e1c7f0c7109263c4,,,"
              
                      ",,,,"$2,350 ","$2,350 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.35.156.003,,,,INDEPENDENCE,INDEPENDENCE,"
              INDEPENDENCE
                      ",1 Story Frame,1900,0,"$10,720 ","$10,720 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.35.305.002,https://photos.camavision.com/a45f4d41a197a41dea11da8b3e24f61d/70,https://photos.camavision.com/a45f4d41a197a41dea11da8b3e24f61d,https://photos.camavision.com/a45f4d41a197a41dea11da8b3e24f61d,,,"
              
                      ",,,,"$7,540 ","$7,540 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.02.100.001,,,,,,"
              
                      ",,,,"$12,960 ","$12,960 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.02.200.018,,,,,,"
              
                      ",,,,$630 ,$630 ,https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.03.326.005,,,,INDEPENDENCE,INDEPENDENCE,"
              INDEPENDENCE
                      ",,,,"$2,560 ","$2,560 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.04.280.015,,,,,,"
              
                      ",,,,"$2,220 ","$2,220 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.04.334.005,,,,INDEPENDENCE,INDEPENDENCE,"
              INDEPENDENCE
                      ",,,,"$5,650 ","$5,650 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.04.351.007,,,,,,"
              
                      ",,,,"$20,500 ","$20,500 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.09.206.014,,,,,,"
              
                      ",,,,"$1,980 ","$1,980 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
15.05.300.009,,,,,,"
              
                      ",,,,"$11,990 ","$11,990 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.35.355.004,https://photos.camavision.com/7bff8c97f11a8275aaaf7fea347a0104/70,https://photos.camavision.com/7bff8c97f11a8275aaaf7fea347a0104,https://photos.camavision.com/7bff8c97f11a8275aaaf7fea347a0104,"308 10TH AVE NE, INDEPENDENCE","308 10TH AVE NE, INDEPENDENCE","
            308 10TH AVE NE, INDEPENDENCE
                      ",Split Foyer Frame,1975,1056,"$141,540 ","$141,540 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.35.355.001,https://photos.camavision.com/d5c8883dcbd25481a2b018728447c3f2/70,https://photos.camavision.com/d5c8883dcbd25481a2b018728447c3f2,https://photos.camavision.com/d5c8883dcbd25481a2b018728447c3f2,"314 10TH AVE NE, INDEPENDENCE","314 10TH AVE NE, INDEPENDENCE","
            314 10TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1960,960,"$128,170 ","$128,170 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.33.479.018,https://photos.camavision.com/750a9b2e6cc4e16de55ef1e61fa1b20e/70,https://photos.camavision.com/750a9b2e6cc4e16de55ef1e61fa1b20e,https://photos.camavision.com/750a9b2e6cc4e16de55ef1e61fa1b20e,"305 10TH AVE NW, INDEPENDENCE","305 10TH AVE NW, INDEPENDENCE","
            305 10TH AVE NW, INDEPENDENCE
                      ",1 Story Frame,1988,1061,"$150,060 ","$150,060 ",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.35.356.003,https://photos.camavision.com/ab01f5b89961fde901d97826c1bb7cdb/70,https://photos.camavision.com/ab01f5b89961fde901d97826c1bb7cdb,https://photos.camavision.com/ab01f5b89961fde901d97826c1bb7cdb,"308 11TH AVE NE, INDEPENDENCE","308 11TH AVE NE, INDEPENDENCE","
            308 11TH AVE NE, INDEPENDENCE
                      ",Split Level Frame,1969,1198,"$151,330 ","$151,330 ",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.355.005,https://photos.camavision.com/b3e5a1e70e60adedf4a196e4ca2af8e2/70,https://photos.camavision.com/b3e5a1e70e60adedf4a196e4ca2af8e2,https://photos.camavision.com/b3e5a1e70e60adedf4a196e4ca2af8e2,"309 11TH AVE NE, INDEPENDENCE","309 11TH AVE NE, INDEPENDENCE","
            309 11TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1959,1308,"$197,920 ","$197,920 ",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.355.003,https://photos.camavision.com/e40dbdec0b2f92a0daafb68a858f19a9/70,https://photos.camavision.com/e40dbdec0b2f92a0daafb68a858f19a9,https://photos.camavision.com/e40dbdec0b2f92a0daafb68a858f19a9,"315 11TH AVE NE, INDEPENDENCE","315 11TH AVE NE, INDEPENDENCE","
            315 11TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1960,1328,"$233,470 ","$233,470 ",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.312.005,https://photos.camavision.com/6d02fa399c9c57250d57ebd631917dbf/70,https://photos.camavision.com/6d02fa399c9c57250d57ebd631917dbf,https://photos.camavision.com/6d02fa399c9c57250d57ebd631917dbf,"400 11TH AVE NE, INDEPENDENCE","400 11TH AVE NE, INDEPENDENCE","
            400 11TH AVE NE, INDEPENDENCE
                      ",Split Foyer Frame,1979,1400,"$226,860 ","$226,860 ",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.308.002,https://photos.camavision.com/aaa83e0a15aca5f3698b995574426308/70,https://photos.camavision.com/aaa83e0a15aca5f3698b995574426308,https://photos.camavision.com/aaa83e0a15aca5f3698b995574426308,"415 11TH AVE NE, INDEPENDENCE","415 11TH AVE NE, INDEPENDENCE","
            415 11TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,2003,2606,"$475,790 ","$475,790 ",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.309.002,https://photos.camavision.com/c8e0ada6fa600f20d0240d412c326090/70,https://photos.camavision.com/c8e0ada6fa600f20d0240d412c326090,https://photos.camavision.com/c8e0ada6fa600f20d0240d412c326090,"512 11TH AVE NE, INDEPENDENCE","512 11TH AVE NE, INDEPENDENCE","
            512 11TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1994,1231,"$213,480 ","$213,480 ",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.314.005,https://photos.camavision.com/9494d83745137229df09a416cc33e0d5/70,https://photos.camavision.com/9494d83745137229df09a416cc33e0d5,https://photos.camavision.com/9494d83745137229df09a416cc33e0d5,"601 11TH AVE NE, INDEPENDENCE","601 11TH AVE NE, INDEPENDENCE","
            601 11TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1998,2051,"$381,040 ","$381,040 ",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
